element,web_name,team,pos,price,xp,sd,xmins,p_start,n_fix,fpl_ep_next,matched_prior,naive_recent6,eligible,xp_next,xp_total,p6,p10,p15
233,Mykolenko,EVE,DEF,4.5,3.351,1.972,83.1,0.989,1,3.7,True,3.667,1,3.35;3.66;3.29;2.92;2.66;2.83,18.71,29.3,1.6,0.0
504,Vuskovic,BHA,DEF,5.0,3.348,2.162,77.4,0.922,1,6.0,True,6.0,0,3.35;3.31;3.53;3.26;2.93;2.56,18.94,26.8,1.8,0.1
114,Boscagli,BHA,DEF,4.5,3.344,2.001,82.2,0.972,1,2.3,True,2.333,0,3.34;3.18;3.52;3.22;2.86;2.47,18.59,29.2,1.7,0.0
184,Grimes,COV,MID,5.0,3.337,1.904,80.0,0.953,1,2.0,False,2.0,1,3.34;3.19;3.33;3.25;3.38;3.42,19.91,16.6,1.4,0.2
261,Iwobi,FUL,MID,5.5,3.336,1.892,81.3,0.968,1,2.0,True,2.0,1,3.34;3.49;3.20;3.37;3.20;3.30,19.9,19.7,1.6,0.2
37,Lindelöf,AVL,DEF,4.5,3.329,2.074,82.1,0.97,1,2.0,True,2.0,0,3.33;3.14;2.91;2.63;2.57;3.27,17.85,25.3,1.6,0.1
113,F.Kadıoğlu,BHA,DEF,4.4,3.329,2.202,82.6,0.979,1,0.7,True,0.667,1,3.33;3.31;3.53;3.24;2.89;2.49,18.79,24.6,2.4,0.1
336,Okafor,LEE,MID,5.9,3.321,2.314,66.3,0.728,1,2.0,True,2.0,0,3.32;3.22;3.53;3.38;3.19;2.99,19.63,20.9,2.6,0.4
176,Dasilva,COV,DEF,4.0,3.305,2.209,80.8,0.962,1,1.7,False,1.667,1,3.30;3.27;3.34;3.44;3.61;3.92,20.88,27.6,2.2,0.2
449,Hall,NEW,DEF,5.1,3.305,2.079,83.1,0.987,1,6.0,True,6.0,1,3.30;4.10;3.71;3.94;3.20;4.02,22.27,27.0,2.2,0.1
471,Milenković,NFO,DEF,5.5,3.305,1.915,83.6,0.994,1,4.0,True,4.0,1,3.30;3.90;3.00;3.27;3.54;2.98,19.99,24.3,1.0,0.0
401,Marmoush,TOT,FWD,7.0,3.304,2.236,69.5,0.774,1,1.3,True,1.333,0,3.30;3.37;3.29;3.14;3.17;3.27,19.54,27.4,4.1,0.4
116,Dunk,BHA,DEF,4.5,3.302,2.09,83.4,0.991,1,3.3,True,3.333,1,3.30;3.13;3.48;3.17;2.81;2.41,18.3,24.5,1.4,0.1
286,Belloumi,HUL,MID,5.0,3.301,1.856,79.3,0.944,1,4.7,False,4.667,1,3.30;3.36;3.54;3.41;3.46;3.46,20.53,15.6,2.4,0.1
327,Bijol,LEE,DEF,5.0,3.3,1.99,71.9,0.824,1,4.0,True,4.0,1,3.30;3.23;2.86;3.17;3.49;2.77,18.82,22.9,1.3,0.1
337,Aaronson,LEE,MID,5.4,3.287,2.076,70.8,0.794,1,1.7,True,1.667,1,3.29;3.20;3.45;3.33;3.18;2.99,19.44,18.8,2.0,0.2
244,Armstrong,EVE,MID,5.0,3.273,1.81,78.7,0.917,1,3.7,True,3.667,0,3.27;3.29;3.15;3.29;3.46;3.20,19.66,14.5,1.1,0.1
242,George,EVE,MID,5.5,3.272,2.028,76.0,0.874,1,5.0,True,5.0,0,3.27;3.28;3.11;3.32;3.57;3.20,19.75,19.1,1.9,0.2
258,Castagne,FUL,DEF,4.5,3.272,2.412,83.1,0.986,1,4.3,True,4.333,1,3.27;3.59;3.67;4.08;3.67;3.51,21.79,21.6,3.0,0.4
474,Jair Cunha,NFO,DEF,4.5,3.267,1.977,81.2,0.956,1,3.3,True,3.333,0,3.27;3.84;2.97;3.28;3.48;2.95,19.79,24.4,1.2,0.1
57,Petrović,BOU,GKP,4.5,3.266,1.602,83.0,0.988,1,2.0,True,2.0,1,3.27;3.27;2.70;3.95;2.81;3.40,19.4,21.0,0.0,0
496,Kinsky,TOT,GKP,4.5,3.25,1.666,76.7,0.913,1,3.0,True,3.0,0,3.25;3.15;2.45;3.39;2.35;2.89,17.48,23.1,0.0,0
